,action_type,combined_shot_type,loc_x,loc_y,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_combined,avg_by_shot_zone_combined
76,Jump Shot,Jump Shot,16,57,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
77,Jump Shot,Jump Shot,-84,110,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
78,Jump Shot,Jump Shot,-71,42,0.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
79,Jump Shot,Jump Shot,58,47,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
80,Jump Shot,Jump Shot,30,133,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
81,Jump Shot,Jump Shot,1,156,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
82,Jump Shot,Jump Shot,132,211,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
83,Slam Dunk Shot,Dunk,-8,4,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
84,Jump Shot,Jump Shot,-29,70,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
85,Turnaround Jump Shot,Jump Shot,-124,49,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
86,Jump Shot,Jump Shot,132,127,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
87,Jump Shot,Jump Shot,-29,188,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
88,Jump Shot,Jump Shot,140,76,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
89,Turnaround Jump Shot,Jump Shot,140,0,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
90,Jump Shot,Jump Shot,-1,156,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
91,Jump Shot,Jump Shot,-151,4,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
92,Jump Shot,Jump Shot,110,76,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
93,Jump Shot,Jump Shot,132,87,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
94,Turnaround Jump Shot,Jump Shot,132,4,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
95,Jump Shot,Jump Shot,-58,251,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
96,Jump Shot,Jump Shot,-94,160,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
97,Jump Shot,Jump Shot,-193,150,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
98,Jump Shot,Jump Shot,140,0,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
99,Jump Shot,Jump Shot,39,9,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
100,Jump Shot,Jump Shot,24,150,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
101,Slam Dunk Shot,Dunk,-1,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
102,Jump Shot,Jump Shot,119,133,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
103,Jump Shot,Jump Shot,-101,137,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
104,Jump Shot,Jump Shot,119,19,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
105,Jump Shot,Jump Shot,-193,42,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
106,Jump Shot,Jump Shot,-166,55,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
107,Jump Shot,Jump Shot,24,116,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
108,Jump Shot,Jump Shot,-65,156,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
109,Turnaround Jump Shot,Jump Shot,-166,26,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
110,Jump Shot,Jump Shot,-58,76,0.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
111,Jump Shot,Jump Shot,-37,70,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
112,Jump Shot,Jump Shot,-151,150,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
113,Jump Shot,Jump Shot,-94,188,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
114,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
115,Reverse Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
116,Tip Shot,Tip Shot,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
117,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
118,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
119,Jump Shot,Jump Shot,85,141,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
120,Jump Shot,Jump Shot,-88,158,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
121,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
122,Jump Shot,Jump Shot,-155,53,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
123,Running Hook Shot,Hook Shot,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
124,Jump Shot,Jump Shot,1,276,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
125,Running Jump Shot,Jump Shot,-96,133,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
127,Jump Shot,Jump Shot,-155,13,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
128,Jump Shot,Jump Shot,-84,133,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
130,Jump Shot,Jump Shot,16,89,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
131,Jump Shot,Jump Shot,-48,106,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
132,Reverse Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
133,Jump Shot,Jump Shot,-170,13,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
134,Jump Shot,Jump Shot,-119,133,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
135,Jump Shot,Jump Shot,9,40,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
136,Jump Shot,Jump Shot,-84,82,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
137,Jump Shot,Jump Shot,9,59,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
138,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
139,Running Jump Shot,Jump Shot,9,59,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
140,Jump Shot,Jump Shot,45,36,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
141,Tip Shot,Tip Shot,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
142,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
143,Jump Shot,Jump Shot,237,11,,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
144,Alley Oop Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
146,Jump Shot,Jump Shot,-98,97,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
147,Jump Shot,Jump Shot,167,78,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
148,Jump Shot,Jump Shot,108,249,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
149,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
150,Running Jump Shot,Jump Shot,100,175,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
151,Jump Shot,Jump Shot,7,169,,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
152,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
153,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
154,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
155,Tip Shot,Tip Shot,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
156,Jump Shot,Jump Shot,115,169,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
157,Jump Shot,Jump Shot,1,72,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
158,Reverse Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
159,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
160,Jump Shot,Jump Shot,113,230,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
161,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
162,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
163,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
164,Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
165,Jump Shot,Jump Shot,98,194,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
166,Jump Shot,Jump Shot,-117,184,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
168,Jump Shot,Jump Shot,70,36,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
169,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
170,Jump Shot,Jump Shot,-37,42,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
171,Jump Shot,Jump Shot,70,194,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
172,Jump Shot,Jump Shot,163,116,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
173,Jump Shot,Jump Shot,113,179,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
175,Jump Shot,Jump Shot,91,156,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
176,Jump Shot,Jump Shot,134,93,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
177,Jump Shot,Jump Shot,47,477,0.0,Back Court(BC),Backcourt,Back Court(BC) Backcourt,0.016666666666666666
178,Jump Shot,Jump Shot,11,137,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
179,Jump Shot,Jump Shot,199,13,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
180,Jump Shot,Jump Shot,77,236,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
181,Alley Oop Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
182,Jump Shot,Jump Shot,11,247,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
183,Jump Shot,Jump Shot,-103,230,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
184,Jump Shot,Jump Shot,-31,247,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
185,Jump Shot,Jump Shot,-10,99,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
186,Jump Shot,Jump Shot,13,100,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
187,Jump Shot,Jump Shot,-73,200,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
188,Jump Shot,Jump Shot,-77,184,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
189,Jump Shot,Jump Shot,188,177,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
190,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
192,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
193,Jump Shot,Jump Shot,-128,137,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
194,Alley Oop Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
195,Jump Shot,Jump Shot,153,4,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
196,Jump Shot,Jump Shot,1,93,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
197,Jump Shot,Jump Shot,115,160,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
198,Jump Shot,Jump Shot,159,200,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
199,Jump Shot,Jump Shot,167,0,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
200,Jump Shot,Jump Shot,-162,245,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
201,Jump Shot,Jump Shot,-162,66,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
203,Jump Shot,Jump Shot,-4,150,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
204,Jump Shot,Jump Shot,-185,9,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
205,Jump Shot,Jump Shot,237,19,1.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
206,Jump Shot,Jump Shot,-229,19,1.0,Left Side(L),Left Corner 3,Left Side(L) Left Corner 3,0.37083333333333335
207,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
208,Reverse Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
209,Jump Shot,Jump Shot,-214,156,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
210,Jump Shot,Jump Shot,-149,137,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
211,Jump Shot,Jump Shot,37,82,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
212,Jump Shot,Jump Shot,-42,87,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
213,Jump Shot,Jump Shot,28,247,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
214,Jump Shot,Jump Shot,7,97,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
215,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
216,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
217,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
218,Jump Shot,Jump Shot,115,135,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
219,Jump Shot,Jump Shot,142,184,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
220,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
221,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
222,Jump Shot,Jump Shot,79,163,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
223,Jump Shot,Jump Shot,142,141,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
224,Jump Shot,Jump Shot,30,125,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
225,Running Jump Shot,Jump Shot,-60,97,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
226,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
227,Driving Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
228,Jump Shot,Jump Shot,115,245,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
229,Jump Shot,Jump Shot,-132,184,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
